Id,SalePrice
1461,143915.54
1462,143048.554
1463,186182.138
1464,186845.516
1465,193129.202
1466,182419.962
1467,170973.253
1468,179221.878
1469,172461.297
1470,127157.696
1471,225273.323
1472,101924.888
1473,100046.01
1474,146657.727
1475,133819.247
1476,432694.673
1477,244074.21
1478,325197.492
1479,276327.524
1480,426330.956
1481,264795.117
1482,205621.502
1483,187429.094
1484,186565.286
1485,197920.006
1486,224649.057
1487,300899.388
1488,218272.808
1489,212854.407
1490,219269.594
1491,189965.884
1492,99857.608
1493,151962.83
1494,285709.845
1495,277214.434
1496,216201.016
1497,190846.81
1498,157540.011
1499,156491.828
1500,170242.98
1501,171115.619
1502,194711.91
1503,247739.746
1504,230848.921
1505,215337.411
1506,171089.819
1507,237052.275
1508,176884.31
1509,176642.065
1510,145593.342
1511,137561.729
1512,148673.105
1513,170096.822
1514,141499.359
1515,134909.472
1516,117980.307
1517,151532.895
1518,135974.683
1519,231870.817
1520,139486.455
1521,135177.942
1522,153127.711
1523,131202.284
1524,122501.445
1525,130254.367
1526,128813.561
1527,116397.86
1528,118334.11
1529,125893.353
1530,145840.211
1531,110624.725
1532,121931.584
1533,138792.251
1534,131267.761
1535,128634.448
1536,116187.597
1537,85147.314
1538,158073.512
1539,128837.393
1540,90127.635
1541,111515.417
1542,136594.65
1543,176242.44
1544,109640.294
1545,129011.502
1546,127295.058
1547,142372.568
1548,133794.713
1549,134315.242
1550,136698.728
1551,99456.964
1552,127859.143
1553,130438.496
1554,126811.352
1555,145080.107
1556,105315.684
1557,104881.339
1558,123076.059
1559,102923.354
1560,141661.885
1561,133119.011
1562,127695.19
1563,131899.845
1564,146571.149
1565,146696.632
1566,218205.917
1567,113885.126
1568,222202.14
1569,140697.762
1570,122853.201
1571,130932.532
1572,150154.363
1573,233288.489
1574,120964.591
1575,223205.032
1576,229183.012
1577,202693.507
1578,134095.26
1579,134567.844
1580,196979.399
1581,140404.82
1582,129130.694
1583,262595.178
1584,206033.117
1585,142887.139
1586,105458.315
1587,116215.584
1588,146698.047
1589,121248.818
1590,130781.662
1591,109938.144
1592,129421.604
1593,134067.119
1594,130993.98
1595,122883.012
1596,218698.727
1597,172308.434
1598,209805.932
1599,172932.883
1600,180626.23
1601,94252.445
1602,130551.005
1603,99198.936
1604,297675.263
1605,219132.761
1606,178566.393
1607,145768.756
1608,241704.679
1609,191514.525
1610,182679.572
1611,145009.5
1612,190226.153
1613,146002.8
1614,98110.257
1615,86568.835
1616,86261.243
1617,85857.83
1618,129270.892
1619,140974.813
1620,163310.931
1621,175840.877
1622,141431.466
1623,228838.571
1624,235477.41
1625,128474.859
1626,158815.914
1627,182656.989
1628,229878.549
1629,171595.786
1630,269182.626
1631,249238.271
1632,241016.178
1633,189388.165
1634,185492.418
1635,181083.93
1636,178890.532
1637,186391.56
1638,170087.285
1639,175484.792
1640,207938.949
1641,158608.646
1642,231743.126
1643,240256.524
1644,228736.274
1645,168848.948
1646,156931.797
1647,152164.78
1648,123187.28
1649,139690.373
1650,125660.318
1651,125520.919
1652,95838.123
1653,96178.993
1654,146277.084
1655,142834.421
1656,146329.186
1657,146671.753
1658,145741.935
1659,144640.836
1660,142375.495
1661,386321.291
1662,348556.109
1663,334393.985
1664,469373.022
1665,271726.378
1666,322553.326
1667,362096.975
1668,321708.831
1669,303765.157
1670,318376.279
1671,279199.245
1672,335377.97
1673,246775.231
1674,244593.69
1675,198697.028
1676,202884.415
1677,206485.904
1678,419193.368
1679,333034.97
1680,308663.793
1681,291973.263
1682,287033.481
1683,195749.258
1684,174494.441
1685,186643.023
1686,188027.517
1687,186570.885
1688,218588.99
1689,186424.392
1690,191956.035
1691,191188.384
1692,218882.655
1693,190208.562
1694,186569.852
1695,175713.7
1696,224658.272
1697,176660.481
1698,320069.45
1699,309984.453
1700,289621.431
1701,250820.898
1702,250228.569
1703,227515.469
1704,267946.238
1705,257620.968
1706,465633.92
1707,218577.09
1708,198468.366
1709,252825.986
1710,223452.987
1711,288365.682
1712,253350.146
1713,218675.036
1714,225888.644
1715,224637.817
1716,186118.759
1717,182446.951
1718,143924.325
1719,198685.76
1720,211624.09
1721,156583.863
1722,155048.683
1723,158592.612
1724,210056.921
1725,222657.722
1726,189737.316
1727,163930.224
1728,184617.881
1729,190920.448
1730,136804.171
1731,115415.556
1732,131732.558
1733,128004.356
1734,118707.49
1735,133387.727
1736,121238.522
1737,219882.964
1738,271380.675
1739,198269.265
1740,225723.632
1741,210034.784
1742,166923.123
1743,165667.74
1744,245607.614
1745,172754.636
1746,180150.841
1747,193503.417
1748,201828.125
1749,156110.938
1750,142584.642
1751,192592.464
1752,126040.676
1753,141859.844
1754,169599.528
1755,171909.325
1756,132224.153
1757,126968.543
1758,146940.339
1759,147383.132
1760,145778.166
1761,137589.379
1762,182168.208
1763,155103.61
1764,139402.38
1765,147070.708
1766,147299.119
1767,148920.68
1768,137390.573
1769,148238.959
1770,134876.902
1771,140033.688
1772,139343.385
1773,129399.249
1774,139706.48
1775,135757.798
1776,131893.882
1777,140067.406
1778,137237.975
1779,128209.851
1780,127660.695
1781,135508.492
1782,112995.732
1783,122963.925
1784,110064.498
1785,118593.032
1786,130618.856
1787,163684.757
1788,88063.64
1789,111979.305
1790,118456.855
1791,181358.592
1792,147895.867
1793,137795.788
1794,134486.722
1795,134741.901
1796,166868.236
1797,112068.559
1798,134077.885
1799,133081.556
1800,149510.333
1801,127785.473
1802,120089.331
1803,159556.365
1804,146566.604
1805,139978.053
1806,101049.024
1807,100168.077
1808,116962.695
1809,123830.25
1810,135123.865
1811,96529.601
1812,115013.475
1813,118657.61
1814,103628.649
1815,108262.29
1816,117532.416
1817,121831.824
1818,123459.199
1819,131770.816
1820,99059.24
1821,126467.975
1822,132589.987
1823,80229.208
1824,112452.8
1825,147949.905
1826,128464.071
1827,122025.441
1828,118584.601
1829,114236.166
1830,105284.227
1831,141178.369
1832,114295.366
1833,139022.705
1834,130101.91
1835,115145.662
1836,117789.787
1837,123703.512
1838,136528.115
1839,115452.631
1840,161340.244
1841,147312.169
1842,123155.897
1843,143659.43
1844,146812.038
1845,143943.384
1846,140317.738
1847,150808.871
1848,99016.399
1849,118661.531
1850,126590.046
1851,129590.66
1852,123841.589
1853,169180.852
1854,172430.058
1855,192804.535
1856,205792.253
1857,157871.276
1858,134343.636
1859,116168.16
1860,147445.54
1861,116161.372
1862,298614.834
1863,298509.597
1864,298509.562
1865,435171.575
1866,309204.226
1867,205689.47
1868,264689.328
1869,215869.673
1870,213857.145
1871,247272.115
1872,202065.857
1873,220404.853
1874,139051.539
1875,190736.561
1876,220572.578
1877,222390.577
1878,204417.889
1879,133213.974
1880,134859.662
1881,236541.426
1882,214720.823
1883,188335.273
1884,191650.41
1885,223308.857
1886,247656.072
1887,230627.138
1888,233006.387
1889,196223.193
1890,137477.129
1891,143231.987
1892,116575.694
1893,131675.095
1894,131661.812
1895,133596.588
1896,133138.452
1897,127817.141
1898,131941.679
1899,171909.839
1900,184400.797
1901,141671.348
1902,127092.631
1903,180559.908
1904,146863.776
1905,152037.271
1906,138677.105
1907,137160.844
1908,110068.409
1909,125866.402
1910,118483.424
1911,186171.368
1912,248517.821
1913,144150.419
1914,118301.671
1915,350515.468
1916,97480.848
1917,218459.425
1918,131499.068
1919,164401.053
1920,115729.676
1921,342379.09
1922,340917.929
1923,206863.68
1924,259549.914
1925,194002.109
1926,338716.65
1927,150836.347
1928,157177.079
1929,118272.663
1930,144944.954
1931,137505.569
1932,162315.723
1933,168230.894
1934,182921.658
1935,176925.955
1936,184486.177
1937,182355.058
1938,180751.352
1939,251264.405
1940,190056.484
1941,183210.331
1942,175356.844
1943,210099.276
1944,327282.366
1945,345727.696
1946,147202.924
1947,303969.578
1948,156860.133
1949,216256.111
1950,192563.557
1951,187245.771
1952,163012.56
1953,161070.819
1954,183172.089
1955,118431.241
1956,240526.038
1957,170753.75
1958,246056.245
1959,146102.601
1960,129750.329
1961,129649.895
1962,95450.43
1963,101681.769
1964,100219.46
1965,145648.716
1966,142249.63
1967,350764.699
1968,398194.761
1969,353116.925
1970,364023.867
1971,359592.217
1972,351590.334
1973,256525.503
1974,345617.019
1975,479669.961
1976,244827.454
1977,353493.657
1978,327742.416
1979,311209.229
1980,212147.304
1981,309903.29
1982,250671.191
1983,265479.294
1984,168322.461
1985,203871.482
1986,176111.016
1987,194977.451
1988,179502.164
1989,206642.12
1990,225054.382
1991,209524.435
1992,207311.317
1993,172833.644
1994,206397.403
1995,176930.038
1996,286866.478
1997,284809.696
1998,288925.007
1999,237913.908
2000,309573.132
2001,307993.814
2002,255420.482
2003,244432.594
2004,274277.704
2005,217952.842
2006,214513.404
2007,230639.384
2008,214208.766
2009,207950.231
2010,191150.959
2011,159765.67
2012,182765.034
2013,202605.629
2014,199572.76
2015,207441.59
2016,194509.088
2017,197342.393
2018,132922.637
2019,126891.09
2020,128019.161
2021,117684.039
2022,159952.491
2023,128539.483
2024,261700.495
2025,320290.698
2026,179047.262
2027,152228.435
2028,155166.455
2029,171036.08
2030,237431.929
2031,164855.8
2032,208203.996
2033,196107.474
2034,185817.489
2035,207828.312
2036,164338.239
2037,163435.214
2038,227161.582
2039,243132.079
2040,273570.833
2041,206920.244
2042,230877.58
2043,161738.156
2044,158763.493
2045,178555.983
2046,138876.423
